Phrase	Dux Translation
4 BEDROOM	#d b$room
3 BEDROOM	#c b$room
2 BEDROOM	#b b$room
1 BEDROOM	#a b$room
MEDICAL STORAGE	m$ical /orage
KITCHEN _ DINING ROOM	kit*5 "_ d9+ room
DAY ROOM 	"d room
CORRIDOR 	corridor
ADMIN 	adm9
LIVING QUARTERS	liv+ qu>t]s
LIVING QUARTERS	liv+ qu>t]s
APPARATUS BAYS	app>atus bays
ADMIN 	adm9
IT ROOM 	it room
CONFERENCE ROOM	3f];e room
ADMIN STORAGE	adm9 /orage
ADMIN _ RECEPTION	adm9 "_ recep;n
LOGISTICS STORAGE	logi/ics /orage
TOOL ROOM 	tool room
TURNOUT GEAR	turn\t ge>
TURNOUT GEAR	turn\t ge>
DECON ROOM	decon room
PANTRY A 	pantry a
PANTRY B 	pantry ;b
PANTRY C 	pantry ;c
SHIFT OFFICE	%ift (fice
ELECTRICAL ROOM	electrical room
APPARATUS BAYS	app>atus bays
DECON ROOM	decon room
OUTDOOR STORAGE	\tdoor /orage
JANITORIAL A102	janitorial a#ajb
TRAINING ROOM A105	tra9+ room a#aje
ARMORY A107	>mory a#ajg
STORAGE A108	/orage a#ajh
KEY CONTROL A109A	key 3trol a#aji;,a
VISITATION ROOM B A113	visita;n room ;b a#aac
VISITATION ROOM A A114	visita;n room ;a a#aad
VISITATION A117	visita;n a#aag
VISITATION A117	visita;n a#aag
VISITATION ROOM D A120	visita;n room ;d a#abj
VISITATION ROOM C A121	visita;n room ;c a#aba
SECURITY ELECTRONICS A124	secur;y electronics a#abd
CENTRAL CONTROL ROOM A125	c5tral 3trol room a#abe
HR MANAGER A130	hr manag] a#acj
HR SPECIALIST A131	hr speciali/ a#aca
CORRECT CARE PARTNERS A132	correct c>e "pn]s a#acb
OFFICE A133	(fice a#acc
M.I.S. SPECIALIST A134	m4i4s4 speciali/ a#acd
STAFF BREAK ROOM A140	/aff br1k room a#adj
CONFERENCE ROOM A A141	3f];e room ;a a#ada
CONFERENCE ROOM A A141	3f];e room ;a a#ada
SC DMH A144	sc dmh a#add
RECORDS A145	records a#ade
PAYROLL A148	payroll a#adh
PURCHASING A149	pur*as+ a#adi
ACCOUNTS PAYABLE A150	a3.ts payable a#aej
JANITORIAL A152	janitorial a#aeb
CONFERENCE ROOM B A156	3f];e room ;b a#aef
CONFERENCE ROOM B A156	3f];e room ;b a#aef
BUSINESS MANAGER A158	busi;s manag] a#aeh
STAFF OFFICE A159	/aff (fice a#aei
CLINICAL DIRECTOR A160	cl9ical director a#afj
FACILITY INVESTIGATOR A161	facil;y 9ve/igator a#afa
MAIL A165	mail a#afe
HOUSING CONTROL ROOM H103	h\s+ 3trol room h#ajc
ELEVATOR MACHINE ROOM H106	elevator ma*9e room h#ajf
BARBER H107	b>b] h#ajg
JANITORIAL H108	janitorial h#ajh
SECURITY STORAGE H111A	secur;y /orage h#aaa;,a
STAFF BREAK ROOM H113	/aff br1k room h#aac
OFFICE H117	(fice h#aag
CANTEEN H120	cante5 h#abj
ELEVATOR H201	elevator h#bja
NURSE'S STATION HM115	nurse's /a;n hm#aae
MEDICAL RECORDS HM116	m$ical records hm#aaf
LAB HM118	lab hm#aah
EMERGENCY ROOM HM119	em]g5cy room hm#aai
EXAM ROOM HM120	exam room hm#abj
ARNP HM121	>np hm#aba
X-RAY HM122	;x-ray hm#abb
BIO-HAZARD HM124	bio-haz>d hm#abd
OXYGEN STORAGE HM126	oxyg5 /orage hm#abf
STORAGE HM127	/orage hm#abg
JANITORIAL HM128	janitorial hm#abh
DENTAL HM129	d5tal hm#abi
PSYCHOLOGIST HM131	psy*ologi/ hm#aca
DENTAL LAB HM133	d5tal lab hm#acc
EQUIPMENT STORAGE HM134	equip;t /orage hm#acd
PPG OFFICE HM136	ppg (fice hm#acf
PPG HM137	ppg hm#acg
POLYGRAPH HM138	polygraph hm#ach
MEDICAL DIRECTOR HM139	m$ical director hm#aci
CLEAN LINENS HM140	cl1n l95s hm#adj
SOILED LINENS HM141	soil$ l95s hm#ada
JANITORIAL HM143	janitorial hm#adc
MEDICATION ROOM HM145	m$ica;n room hm#ade
QUIET ROOM HM148	quiet room hm#adh
DISHWASHER K202	di%wa%] k#bjb
STAFF DINING K204A	/aff d9+ k#bjd;,a
STAFF DINING K204B	/aff d9+ k#bjd;,b
STORAGE K205	/orage k#bje
JANITORIAL K206	janitorial k#bjf
JANITORIAL K208	janitorial k#bjh
FOOD SERVICE MANAGER K209	food s]vice manag] k#bji
DRY STORAGE K212	dry /orage k#bab
STORAGE K213	/orage k#bac
LIBRARY P101	libr>y p#aja
EDUCATION / VOCATION P102	$uca;n _/ voca;n p#ajb
ACTIVITY DIRECTOR P103	activ;y director p#ajc
GROUP ROOM 1 P105	gr\p room #a p#aje
GROUP ROOM 2 P106	gr\p room #b p#ajf
GROUP ROOM 3 P109	gr\p room #c p#aji
JANITORIAL P108	janitorial p#ajh
GROUP ROOM 4 P110	gr\p room #d p#aaj
GROUP ROOM 5 P111	gr\p room #e p#aaa
GROUP ROOM 6 P112	gr\p room #f p#aab
GROUP ROOM 7 P113	gr\p room #g p#aac
TEAM LEADER P116	t1m l1d] p#aaf
PSYCHIATRIST P117	psy*iatri/ p#aag
DIRECTOR OF SOCIAL SERVICES P118	director ( social s]vices p#aah
TEAM LEADER P119	t1m l1d] p#aai
PROPERTY ROOM S101	prop]ty room s#aja
HOLDING ROOM S102	hold+ room s#ajb
HOLDING ROOM S103	hold+ room s#ajc
SECURITY ROOM S104	secur;y room s#ajd
STAFF OFFICE S105	/aff (fice s#aje
EXAM ROOM S107	exam room s#ajg
JANITORIAL S113	janitorial s#aac
CENTRAL JANITORIAL ROOM S118	c5tral janitorial room s#aah
STAFF OFFICE S119	/aff (fice s#aai
JANITORIAL S125	janitorial s#abe
FACILITY MANAGER S127	facil;y manag] s#abg
FACILITY MANAGER S127	facil;y manag] s#abg
TRAINING COORDINATOR A105A	tra9+ coord9ator a#aje;,a
WOMEN'S LOCKER ROOM A111	wom5's lock] room a#aaa
MEN'S LOCKER ROOM A112	m5's lock] room a#aab
SUPERVISOR'S OFFICE H110	sup]visor's (fice h#aaj
PSYCHOLOGIST HM132	psy*ologi/ hm#acb
ADMINISTRATIVE ASSISTANT HM123	adm9i/rative assi/ant hm#abc
ADMINISTRATIVE ASSISTANT A142	adm9i/rative assi/ant a#adb
ADMINISTRATIVE ASSISTANT A143	adm9i/rative assi/ant a#adc
FACILITY ADMINISTRATOR A153	facil;y adm9i/rator a#aec
ADMINISTRATIVE ASSISTANT A155	adm9i/rative assi/ant a#aee
QUALITY IMPROVEMENT DIRECTOR A157	qual;y improve;t director a#aeg
DIRECTOR OF SECURITY / OPERATIONS A162	director ( secur;y _/ op]a;ns a#afb
DIANE SMITH MEMORIAL CONFERENCE ROOM H111	diane smi? memorial 3f];e room h#aaa
ADMINISTRATIVE CAPTAIN H116	adm9i/rative capta9 h#aaf
HEALTH SERVICES ADMINISTRATOR HM130	h1l? s]vices adm9i/rator hm#acj
LAW LIBRARY / COMPUTER CLASSROOM P104	law libr>y _/ comput] classroom p#ajd
CLINICAL DEPARTMENT STAFF P114	cl9ical de"p;t /aff p#aad
CLINICAL CONFERENCE ROOM C P115	cl9ical 3f];e room ;c p#aae
